city,country,local_day,local_time,local_hour,weather_condition,primary_condition,temperature_f,daylight_saving,scraped_at_utc,city_url
Accra,Ghana,Sun,20:52:00,20,Clear. Warm,Clear,77,False,2026-08-23T20:52:09Z,https://www.timeanddate.com/weather/ghana/accra
Edmonton,Canada,Sun,14:52:00,14,Passing clouds. Warm,Passing clouds,77,True,2026-08-23T20:52:09Z,https://www.timeanddate.com/weather/canada/edmonton
Nassau,Bahamas,Sun,16:52:00,16,Passing clouds. Hot,Passing clouds,90,True,2026-08-23T20:52:09Z,https://www.timeanddate.com/weather/bahamas/nassau
Addis Ababa,Ethiopia,Sun,23:52:00,23,Overcast. Cool,Overcast,62,False,2026-08-23T20:52:09Z,https://www.timeanddate.com/weather/ethiopia/addis-ababa
Frankfurt,Germany,Sun,22:52:00,22,Passing clouds. Refreshingly cool,Passing clouds,59,True,2026-08-23T20:52:09Z,https://www.timeanddate.com/weather/germany/frankfurt
New Delhi,India,Mon,02:22:00,2,Fog. Warm,Fog,85,False,2026-08-23T20:52:09Z,https://www.timeanddate.com/weather/india/new-delhi
Adelaide,Australia,Mon,06:22:00,6,Cool,Cool,59,False,2026-08-23T20:52:09Z,https://www.timeanddate.com/weather/australia/adelaide
Guatemala City,Guatemala,Sun,14:52:00,14,Scattered clouds. Warm,Scattered clouds,82,False,2026-08-23T20:52:09Z,https://www.timeanddate.com/weather/guatemala/guatemala
New Orleans,USA,Sun,15:52:00,15,Sunny. Hot,Sunny,92,True,2026-08-23T20:52:09Z,https://www.timeanddate.com/weather/usa/new-orleans
Algiers,Algeria,Sun,21:52:00,21,Partly sunny. Warm,Partly sunny,84,False,2026-08-23T20:52:09Z,https://www.timeanddate.com/weather/algeria/algiers
Halifax,Canada,Sun,17:52:00,17,Sprinkles. Fog. Mild,Sprinkles,73,True,2026-08-23T20:52:09Z,https://www.timeanddate.com/weather/canada/halifax
New York,USA,Sun,16:52:00,16,Scattered clouds. Warm,Scattered clouds,79,True,2026-08-23T20:52:09Z,https://www.timeanddate.com/weather/usa/new-york
Almaty,Kazakstan,Mon,01:52:00,1,Partly cloudy. Mild,Partly cloudy,64,False,2026-08-23T20:52:09Z,https://www.timeanddate.com/weather/kazakstan/almaty
Hanoi,Vietnam,Mon,03:52:00,3,Passing clouds. Warm,Passing clouds,77,False,2026-08-23T20:52:09Z,https://www.timeanddate.com/weather/vietnam/hanoi
